Time,ID,x_coord,y_coord,Speed,Acceleration
40,666,347.55,1,17.86,0.14
40,713,329.54,2,18.64,0.12
40,777,320.91,0,17.9,0.33
40,819,278.52,0,17.5,0.17
40,766,271.75,1,16.62,0.23
40,813,255.34,2,17.31,0.38
40,882,244.8,0,16.6,0.17
40,903,220.52,2,15.95,0.33
40,924,212.91,0,16.01,0.1
40,860,211.85,1,15.63,0.27
40,988,184.72,0,15.61,-0.08
40,966,173.65,2,15.85,0.21
40,1030,155.89,0,15.87,-0.23
40,960,152.38,1,14.42,0.3
40,1019,129.44,2,14.73,0.34
40,1072,119.52,0,16.04,0.2
40,1066,103.73,1,13.93,0.26
40,1094,102.86,2,14.04,0.07
40,1115,78.28,0,13.47,0.29
40,1177,59.17,2,15.45,-0.11
40,1166,53.23,1,13.17,0.18
40,1199,51.37,0,15.22,-0.78
40,1220,26.57,2,12.43,0.37
40,1241,21.61,1,15.08,-0.46
41,417,681.2,1,23.12,0.08
41,438,671.37,0,21.67,0.31
41,866,666.17,2,18.43,0.23
41,343,642.17,1,21.69,0.27
41,481,628.96,0,21.28,0.05
41,972,599.63,2,18.89,0.33
41,523,574.4,0,22.19,0.16
41,401,567.4,1,19.46,0.13
41,1078,526.41,2.41,17.66,0.3
41,470,524.81,1,19.13,0.1
41,587,522.27,0,21.71,0.1
41,517,510.67,1.82,16.55,0.09
41,629,475.13,0,20.87,0.16
41,566,465.96,2,19.01,0.12
41,560,424.6,1,18.78,0.24
41,672,421.9,0,20.25,0.28
41,618,408.57,2,19.44,0.08
41,734,377.34,0,19.02,0.37
41,666,365.56,1,18.17,0.33
41,713,348.28,2,18.85,0.12
41,777,338.91,0,18.11,0.27
41,819,296.1,0,17.62,0.04
41,766,288.48,1,16.85,0.19
41,813,272.83,2,17.66,0.32
41,882,261.48,0,16.72,0.1
41,903,236.59,2,16.23,0.33
41,924,229,0,16.12,0.04
41,860,227.62,1,15.91,0.15
41,988,200.36,0,15.63,-0.08
41,966,189.61,2,16.06,0.04
41,1030,171.68,0,15.72,-0.15
41,960,166.96,1,14.74,0.3
41,1019,144.31,2,15.04,0.4
41,1072,135.61,0,16.09,-0.1
41,1066,117.78,1,14.19,0.37
41,1094,116.94,2,14.12,0.01
41,1115,91.9,0,13.77,0.28
41,1177,74.6,2,15.43,-0.02
41,1166,66.53,1,13.42,0.3
41,1199,66.23,0,14.56,-0.55
41,1220,39.18,2,12.78,0.29
41,1241,36.48,1,14.69,-0.38
41,1277,19.62,0,19.24,-0.8
41,1294,4.96,2,12.41,-0.06
42,438,693.12,0,21.84,0.1
42,866,684.74,2,18.71,0.34
42,343,664.01,1,21.99,0.23
42,481,650.31,0,21.41,0.01
42,972,618.66,2,19.16,0.09
42,523,596.6,0,22.17,-0.09
42,401,586.95,1,19.64,0.24
42,1078,544.25,2.08,18.03,0.24
42,587,544.09,0,21.92,0.12
42,470,543.96,1,19.2,0.14
42,517,527.29,1.41,16.7,0.15
42,629,496.09,0,21.06,0.18
42,566,485.03,2,19.12,0.01
42,560,443.45,1,18.93,0.26
42,672,442.24,0,20.45,0.35
42,618,428.12,2,19.65,0.07
42,734,396.48,0,19.26,0.27
42,666,383.84,1,18.39,0.12
42,713,367.25,2,19.13,0.33
42,777,357.13,0,18.34,0.27
42,819,313.83,0,17.85,0.33
42,766,305.43,1,17.07,0.35
42,813,290.64,2,17.95,0.25
42,882,278.32,0,16.96,0.33
42,903,252.93,2,16.46,0.2
42,924,245.15,0,16.19,0.11
42,860,243.63,1,16.12,0.29
42,988,216.03,0,15.68,-0.02
42,966,205.78,2,16.27,0.01
42,1030,187.33,0,15.64,-0.03
42,960,181.87,1,15.07,0.4
42,1019,159.51,2,15.34,0.14
42,1072,151.7,0,16.13,0.15
42,1066,132.09,1,14.44,0.37
42,1094,131.14,2,14.29,0.14
42,1115,105.84,0,14.06,0.25
42,1177,89.97,2,15.33,-0.04
42,1199,80.61,0,14.27,-0.09
42,1166,80.07,1,13.67,0.17
42,1220,52.16,2,13.16,0.17
42,1241,51.05,1,14.5,-0.06
42,1277,38.45,0,18.39,-0.86
42,1294,17.44,2,12.51,-0.07
42,1310,9.49,1,11.99,0.27
42,1326,3.96,0,19.75,-0.39
43,343,686.1,1,22.21,0.29
43,481,671.86,0,21.7,0.35
43,972,637.95,2,19.47,0.38
43,523,618.82,0,22.23,-0.02
43,401,606.63,1,19.75,0.22
43,587,566.12,0,22.12,0.12
43,470,563.2,1,19.28,0.05
43,1078,562.42,2,18.34,0.34
43,517,544.06,1.08,16.88,0.33
43,629,517.25,0,21.29,0.33
43,566,504.21,2,19.25,-0.02
43,1183,491.21,3,16.91,0.13
43,672,462.79,0,20.66,0.22
43,560,462.47,1,19.11,0.26
43,618,447.82,2,19.62,-0.3
43,734,415.89,0,19.49,0.15
43,666,402.36,1,18.63,0.32
43,713,386.51,2,19.37,0.13
43,777,375.59,0,18.56,0.11
43,819,331.81,0,18.09,0.16
43,766,322.63,1,17.33,0.14
43,813,308.72,2,18.24,0.37
43,882,295.36,0,17.13,0.18
43,903,269.51,2,16.73,0.22
43,924,261.41,0,16.35,0.18
43,860,259.85,1,16.31,0.23
43,988,231.77,0,15.81,0.18
43,966,222.13,2,16.47,0.28
43,1030,202.96,0,15.61,-0.06
43,960,197.08,1,15.32,0.13
43,1019,174.99,2,15.65,0.25
43,1072,167.82,0,16.12,0.12
43,1066,146.66,1,14.7,0.17
43,1094,145.53,2,14.51,0.16
43,1115,120.02,0,14.31,0.35
43,1177,105.27,2,15.3,-0.04
43,1199,94.81,0,14.13,-0.15
43,1166,93.86,1,13.94,0.38
43,1220,65.47,2,13.48,0.28
43,1241,65.45,1,14.32,-0.12
43,1277,56.45,0,17.6,-0.79
43,1294,30,2,12.63,0.05
43,1326,23.47,0,19.24,-0.48
43,1310,21.67,1,12.37,0.43
44,481,693.66,0,21.91,0.21
44,972,657.52,2,19.68,0.16
44,523,641.08,0,22.3,0.12
44,401,626.44,1,19.86,0.05
44,587,588.29,0,22.21,0.02
44,470,582.51,1,19.38,0.17
44,1078,580.94,2,18.69,0.29
44,517,561.04,1,17.12,0.34
44,629,538.68,0,21.54,0.25
44,566,523.56,2,19.43,0.07
44,1183,508.18,2.82,17.04,0.09
44,672,483.54,0,20.89,0.35
44,560,481.65,1,19.27,0.22
44,618,467.28,2,19.28,-0.48
44,734,435.51,0,19.74,0.23
44,666,421.12,1,18.87,0.28
44,713,405.99,2,19.63,0.33
44,777,394.23,0,18.7,0.14
44,819,349.98,0,18.28,0.22
44,766,340.07,1,17.56,0.3
44,813,327.16,2,18.62,0.34
44,882,312.58,0,17.27,0.12
44,903,286.35,2,16.95,0.16
44,924,277.86,0,16.56,0.3
44,860,276.3,1,16.6,0.17
44,988,247.59,0,15.84,0.07
44,966,238.73,2,16.73,0.15
44,1030,218.55,0,15.59,0.04
44,960,212.56,1,15.65,0.41
44,1019,190.82,2,16,0.23
