#time	id	x[m]	y[m]	speed[m/s]	heading	acc[m/s^2]
254.00	239	505.40	1.00	7.35		0.00	0.18
254.00	261	503.78	2.00	8.12		0.00	0.17
254.00	241	498.04	0.00	7.06		0.00	0.42
254.00	246	473.98	1.00	6.32		0.00	0.25
254.00	252	467.38	0.00	6.11		0.00	0.20
254.00	255	466.52	2.00	7.04		0.00	0.14
254.00	247	443.00	1.00	5.42		0.00	0.32
254.00	258	437.09	2.00	5.99		0.00	0.23
254.00	245	433.31	0.00	4.85		0.00	0.29
254.00	259	417.36	1.00	4.27		0.00	0.29
254.00	270	407.62	2.00	4.50		0.00	0.29
254.00	248	407.26	0.00	3.79		0.00	0.26
254.00	256	396.31	1.00	3.48		0.00	0.19
254.00	251	386.03	0.00	2.57		0.00	0.38
254.00	265	383.90	2.00	3.17		0.00	0.16
254.00	264	376.24	1.00	2.28		0.00	0.40
254.00	254	370.08	0.00	1.36		0.00	0.30
254.00	204	365.74	2.00	1.87		0.00	0.19
254.00	267	361.73	1.00	1.28		0.00	0.29
254.00	257	359.37	0.00	0.16		0.00	0.08
254.00	268	352.44	2.00	0.74		0.00	0.13
254.00	260	351.81	0.00	0.01		0.00	-0.00
254.00	262	351.00	1.00	0.27		0.00	0.29
254.00	263	344.40	0.00	0.04		0.00	-0.02
254.00	207	336.76	0.00	0.17		0.00	-0.09
254.00	205	335.80	2.00	0.01		0.00	-0.00
254.00	208	335.19	1.00	0.03		0.00	-0.01
254.00	266	328.36	2.00	0.03		0.00	-0.01
254.00	216	327.57	1.00	0.10		0.00	-0.05
254.00	269	327.33	0.00	1.88		0.00	-1.82
254.00	201	320.71	2.00	0.13		0.00	-0.06
254.00	214	319.34	1.00	0.52		0.00	-0.37
254.00	217	310.63	2.00	2.45		0.00	-2.00
254.00	202	310.48	1.00	0.96		0.00	-0.83
254.00	200	299.98	0.02	10.74		-0.01	-2.81
254.00	219	291.62	2.00	8.63		0.00	-3.52
254.00	213	285.42	0.00	11.32		0.00	-1.96
254.00	211	245.57	1.00	14.18		0.00	-1.02
254.00	220	242.00	2.00	16.44		0.00	-0.86
254.00	203	221.91	0.00	16.53		0.00	-0.06
254.00	206	188.91	1.00	15.52		0.00	0.02
254.00	226	180.62	2.00	16.77		0.00	0.22
254.00	222	160.87	0.00	16.33		0.00	0.28
254.00	228	137.33	1.00	14.92		0.00	0.31
254.00	229	123.94	2.00	16.31		0.00	0.08
254.00	225	102.01	0.00	15.48		0.00	0.22
254.00	210	90.69	1.00	14.39		0.00	0.29
254.00	232	74.62	2.00	15.44		0.00	0.34
254.00	231	43.31	0.00	14.69		0.00	0.12
254.00	209	41.02	1.00	13.42		0.00	0.15
254.00	215	19.48	2.00	14.64		0.00	0.28
255.00	212	784.36	0.00	13.77		0.00	0.15
255.00	235	780.63	2.00	14.02		0.00	0.14
255.00	223	760.88	1.00	11.50		0.00	0.36
255.00	238	737.00	2.00	13.13		0.00	0.38
255.00	218	726.95	1.00	11.35		0.00	0.06
255.00	234	726.66	0.00	12.64		0.00	0.29
255.00	242	699.63	2.00	12.15		0.00	0.16
255.00	224	688.44	1.00	11.52		0.00	0.10
255.00	237	674.78	0.00	11.69		0.00	0.38
255.00	249	663.21	2.00	11.71		0.00	0.30
255.00	240	642.10	1.00	11.09		0.00	0.30
255.00	227	626.46	0.00	10.52		0.00	0.40
255.00	244	624.73	2.00	11.02		0.00	0.23
255.00	230	591.37	1.00	9.84		0.00	0.29
255.00	250	586.28	2.00	10.32		0.00	0.28
255.00	236	582.22	0.00	9.32		0.00	0.19
255.00	243	552.12	1.00	8.86		0.00	0.17
255.00	253	546.13	2.00	9.38		0.00	0.40
255.00	233	545.53	0.00	8.24		0.00	0.29
255.00	239	512.86	1.00	7.56		0.00	0.25
255.00	261	512.06	2.00	8.41		0.00	0.21
255.00	241	505.25	0.00	7.35		0.00	0.14
255.00	246	480.42	1.00	6.55		0.00	0.32
255.00	255	473.69	2.00	7.33		0.00	0.27
255.00	252	473.63	0.00	6.36		0.00	0.12
255.00	247	448.53	1.00	5.69		0.00	0.35
255.00	258	443.28	2.00	6.35		0.00	0.14
255.00	245	438.30	0.00	5.12		0.00	0.15
255.00	259	421.77	1.00	4.56		0.00	0.33
255.00	270	412.31	2.00	4.88		0.00	0.43
255.00	248	411.20	0.00	4.12		0.00	0.40
255.00	256	399.91	1.00	3.71		0.00	0.25
255.00	251	388.74	0.00	2.89		0.00	0.39
255.00	265	387.25	2.00	3.58		0.00	0.41
255.00	264	378.67	1.00	2.55		0.00	0.18
255.00	254	371.59	0.00	1.65		0.00	0.27
255.00	204	367.78	2.00	2.20		0.00	0.27
255.00	267	363.14	1.00	1.53		0.00	0.21
255.00	257	359.68	0.00	0.44		0.00	0.32
255.00	268	353.28	2.00	0.99		0.00	0.33
255.00	260	351.82	0.00	0.01		0.00	-0.00
255.00	262	351.36	1.00	0.49		0.00	0.28
255.00	263	344.43	0.00	0.02		0.00	-0.01
255.00	207	336.89	0.00	0.10		0.00	-0.05
255.00	205	335.81	2.00	0.03		0.00	0.11
255.00	208	335.22	1.00	0.02		0.00	-0.01
255.00	269	328.50	0.00	0.71		0.00	-0.61
255.00	266	328.39	2.00	0.02		0.00	-0.01
